iter	MultiClass
0	1.075869156
1	1.06012282
2	1.043110762
3	1.026408
4	1.009590548
5	0.9979038182
6	0.9828319505
7	0.9687823033
8	0.9614193152
9	0.9521890024
10	0.9434280832
11	0.932189038
12	0.9217357506
13	0.9155206697
14	0.9108087831
15	0.9043881257
16	0.8957702145
17	0.8903415896
18	0.8830054884
19	0.877492609
20	0.8705602245
21	0.8636734873
22	0.8600880659
23	0.8557585082
24	0.8522094589
25	0.847343455
26	0.8426772815
27	0.8368043178
28	0.8316918589
29	0.8237476118
30	0.8180468149
31	0.8147092438
32	0.8108246266
33	0.80869408
34	0.8041754812
35	0.8002989067
36	0.7962307066
37	0.7913027291
38	0.7844310371
39	0.7798352546
40	0.7754068925
41	0.7711084966
42	0.7666131324
43	0.7642247255
44	0.7611842396
45	0.7558275292
46	0.7516328571
47	0.7480231627
48	0.7438188131
49	0.7400242862
50	0.7378621657
51	0.733941705
52	0.7265277762
53	0.7246176396
54	0.7204163479
55	0.7179902209
56	0.7151298682
57	0.709757835
58	0.7064177157
59	0.7023975481
60	0.698521831
61	0.6950066427
62	0.6906370527
63	0.6880232226
64	0.6862082437
65	0.6829354295
66	0.6794381308
67	0.6767378395
68	0.6741013419
69	0.6701267539
70	0.6671033085
71	0.6641350761
72	0.6608120311
73	0.6573610601
74	0.654693687
75	0.6520863361
76	0.6497539967
77	0.6476200427
78	0.6454118459
79	0.6424028676
80	0.6383941697
81	0.6367563225
82	0.6341277374
83	0.6306905194
84	0.6260583437
85	0.6219098558
86	0.619979385
87	0.6152914189
88	0.6137214737
89	0.6125683978
90	0.6105765241
91	0.6085704579
92	0.6066554181
93	0.6042111814
94	0.6024016247
95	0.6006944484
96	0.5986531823
97	0.595125631
98	0.5935985521
99	0.5917233327
100	0.5894989221
101	0.5859160666
102	0.5832814124
103	0.5794410821
104	0.5769213684
105	0.5753581823
106	0.5734426097
107	0.5715869255
108	0.569389004
109	0.5655286822
110	0.5648862814
111	0.5619107466
112	0.5592515522
113	0.5573319001
114	0.5547417863
115	0.5510117158
116	0.5472717553
117	0.5450031881
118	0.5421098799
119	0.5388269598
120	0.5362041424
121	0.5322329105
122	0.5295765128
123	0.5267739987
124	0.5245823722
125	0.5227201439
126	0.520321962
127	0.5185555103
128	0.5173070019
129	0.5159631629
130	0.5133236879
131	0.5116112638
132	0.5104566031
133	0.5077695268
134	0.5055175926
135	0.5038184858
136	0.5021602155
137	0.5010505053
138	0.4996924521
139	0.4977370787
140	0.4949225147
141	0.4935460034
142	0.4917087795
143	0.4895326233
144	0.4875887041
145	0.4852944229
146	0.4834425121
147	0.4805758662
148	0.4782621563
149	0.4755514532
