iter	Passed	Remaining
0	205	51237
1	410	50862
2	729	60096
3	928	57100
4	1065	52191
5	1200	48819
6	1334	46322
7	1449	43859
8	1555	41658
9	1667	40029
10	1745	37920
11	1826	36215
12	1932	35222
13	2036	34323
14	2155	33776
15	2260	33056
16	2351	32228
17	2444	31506
18	2534	30810
19	2659	30579
20	2752	30015
21	2845	29488
22	2957	29187
23	3056	28781
24	3209	28883
25	3305	28473
26	3399	28075
27	3491	27683
28	3570	27212
29	3680	26993
30	3808	26906
31	3914	26665
32	4002	26318
33	4080	25921
34	4170	25616
35	4272	25396
36	4366	25135
37	4461	24892
38	4558	24661
39	4653	24432
40	4742	24176
41	4835	23949
42	4947	23819
43	5051	23651
44	5142	23425
45	5231	23202
46	5327	23011
47	5406	22751
48	5483	22495
49	5562	22250
50	5643	22022
51	5724	21796
52	5802	21569
53	5944	21575
54	6051	21453
55	6137	21263
56	6213	21039
57	6288	20817
58	6365	20606
59	6441	20399
60	6517	20193
61	6591	19988
62	6669	19795
63	6748	19613
64	6828	19434
65	6928	19316
66	7028	19198
67	7122	19062
68	7212	18919
69	7338	18871
70	7499	18907
71	7602	18795
72	7746	18782
73	7883	18749
74	8034	18747
75	8189	18748
76	8317	18688
77	8425	18578
78	8534	18474
79	8624	18326
80	8747	18250
81	8872	18178
82	9016	18140
83	9153	18089
84	9286	18026
85	9393	17912
86	9516	17829
87	9614	17699
88	9767	17669
89	9851	17513
90	9938	17365
91	10026	17220
92	10104	17058
93	10183	16900
94	10260	16740
95	10340	16587
96	10416	16430
97	10508	16299
98	10595	16160
99	10691	16037
100	10781	15905
101	10883	15792
102	10998	15697
103	11101	15585
104	11195	15460
105	11282	15327
106	11374	15201
107	11465	15074
108	11559	14953
109	11653	14831
110	11752	14717
111	11830	14577
112	11921	14453
113	12011	14329
114	12087	14189
115	12164	14052
116	12244	13919
117	12322	13784
118	12399	13649
119	12476	13516
120	12594	13427
121	12693	13317
122	12825	13242
123	12993	13203
124	13123	13123
125	13215	13005
126	13352	12931
127	13456	12825
128	13562	12721
129	13700	12646
130	13822	12556
131	13945	12465
132	14105	12408
133	14215	12306
134	14332	12209
135	14484	12141
136	14619	12058
137	14743	11965
138	14847	11856
139	15001	11786
140	15126	11693
141	15223	11578
142	15345	11482
143	15510	11417
144	15768	11418
145	15975	11380
146	16238	11378
147	16472	11352
148	16618	11265
149	16755	11170
150	16878	11066
151	17021	10974
152	17138	10865
153	17239	10746
154	17372	10647
155	17474	10529
156	17587	10418
157	17695	10303
158	17775	10173
159	17886	10061
160	18037	9970
161	18168	9869
162	18282	9758
163	18400	9649
164	18520	9540
165	18617	9421
166	18736	9312
167	18872	9211
168	18995	9104
169	19119	8997
170	19205	8872
171	19310	8757
172	19412	8640
173	19514	8523
174	19597	8398
175	19687	8277
176	19824	8176
177	19963	8075
178	20086	7967
179	20199	7855
180	20299	7738
181	20421	7630
182	20560	7527
183	20661	7411
184	20785	7302
185	20922	7199
186	21037	7087
187	21135	6970
188	21224	6850
189	21329	6735
190	21450	6626
191	21568	6515
192	21649	6393
193	21738	6274
194	21849	6162
195	21951	6047
196	22048	5931
197	22160	5820
198	22283	5710
199	22389	5597
200	22516	5489
201	22646	5381
202	22742	5265
203	22851	5152
204	22994	5047
205	23090	4932
206	23226	4824
207	23322	4709
208	23449	4600
209	23576	4490
210	23677	4376
211	23809	4267
212	23942	4158
213	24042	4044
214	24146	3930
215	24231	3814
216	24332	3700
217	24443	3588
218	24569	3477
219	24682	3365
220	24805	3255
221	24968	3149
222	25110	3040
223	25218	2927
224	25344	2816
225	25456	2703
226	25556	2589
227	25708	2480
228	25835	2369
229	25962	2257
230	26096	2146
231	26213	2033
232	26313	1919
233	26437	1807
234	26533	1693
235	26628	1579
236	26759	1467
237	26868	1354
238	27032	1244
239	27141	1130
240	27242	1017
241	27365	904
242	27495	792
243	27595	678
244	27709	565
245	27814	452
246	27915	339
247	28030	226
248	28133	112
249	28246	0
